model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large
RF,1,0.6060355518809426,0.6500000000000001,2,1,39,58,41,59,0.04878048780487805,0.9512195121951219,0.9830508474576272,0.01694915254237288,0.6666666666666666,58.0,0.05,97,41
RF,1,0.6060355518809426,0.7000000000000001,1,1,40,58,41,59,0.024390243902439025,0.975609756097561,0.9830508474576272,0.01694915254237288,0.5,58.0,0.05,97,41
RF,1,0.6060355518809426,0.7500000000000001,0,1,41,58,41,59,0.0,1.0,0.9830508474576272,0.01694915254237288,0.0,58.0,0.05,97,41
RF,1,0.6060355518809426,0.8,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,1,0.6060355518809426,0.8500000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,1,0.6060355518809426,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,2,0.576271186440678,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,2,0.576271186440678,0.1,40,59,1,0,41,59,0.975609756097561,0.024390243902439025,0.0,1.0,0.40404040404040403,0.0,0.05,97,41
RF,2,0.576271186440678,0.15000000000000002,39,56,2,3,41,59,0.9512195121951219,0.04878048780487805,0.05084745762711865,0.9491525423728814,0.4105263157894737,0.05357142857142857,0.05,97,41
RF,2,0.576271186440678,0.2,34,49,7,10,41,59,0.8292682926829268,0.17073170731707318,0.1694915254237288,0.8305084745762712,0.40963855421686746,0.20408163265306123,0.05,97,41
RF,2,0.576271186440678,0.25,34,46,7,13,41,59,0.8292682926829268,0.17073170731707318,0.22033898305084745,0.7796610169491526,0.425,0.2826086956521739,0.05,97,41
RF,2,0.576271186440678,0.3,32,40,9,19,41,59,0.7804878048780488,0.21951219512195122,0.3220338983050847,0.6779661016949152,0.4444444444444444,0.475,0.05,97,41
RF,2,0.576271186440678,0.35000000000000003,32,34,9,25,41,59,0.7804878048780488,0.21951219512195122,0.423728813559322,0.576271186440678,0.48484848484848486,0.7352941176470589,0.05,97,41
RF,2,0.576271186440678,0.4,25,27,16,32,41,59,0.6097560975609756,0.3902439024390244,0.5423728813559322,0.4576271186440678,0.4807692307692308,1.1851851851851851,0.05,97,41
RF,2,0.576271186440678,0.45,20,21,21,38,41,59,0.4878048780487805,0.5121951219512195,0.6440677966101694,0.3559322033898305,0.4878048780487805,1.8095238095238095,0.05,97,41
RF,2,0.576271186440678,0.5,16,17,25,42,41,59,0.3902439024390244,0.6097560975609756,0.711864406779661,0.288135593220339,0.48484848484848486,2.4705882352941178,0.05,97,41
RF,2,0.576271186440678,0.55,10,14,31,45,41,59,0.24390243902439024,0.7560975609756098,0.7627118644067796,0.23728813559322035,0.4166666666666667,3.2142857142857144,0.05,97,41
RF,2,0.576271186440678,0.6000000000000001,6,10,35,49,41,59,0.14634146341463414,0.8536585365853658,0.8305084745762712,0.1694915254237288,0.375,4.9,0.05,97,41
RF,2,0.576271186440678,0.6500000000000001,3,2,38,57,41,59,0.07317073170731707,0.926829268292683,0.9661016949152542,0.03389830508474576,0.6,28.5,0.05,97,41
RF,2,0.576271186440678,0.7000000000000001,2,1,39,58,41,59,0.04878048780487805,0.9512195121951219,0.9830508474576272,0.01694915254237288,0.6666666666666666,58.0,0.05,97,41
RF,2,0.576271186440678,0.7500000000000001,0,1,41,58,41,59,0.0,1.0,0.9830508474576272,0.01694915254237288,0.0,58.0,0.05,97,41
RF,2,0.576271186440678,0.8,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,2,0.576271186440678,0.8500000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,2,0.576271186440678,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,3,0.5514675485737908,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,3,0.5514675485737908,0.1,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,3,0.5514675485737908,0.15000000000000002,37,57,4,2,41,59,0.9024390243902439,0.0975609756097561,0.03389830508474576,0.9661016949152542,0.39361702127659576,0.03508771929824561,0.05,97,41
RF,3,0.5514675485737908,0.2,36,50,5,9,41,59,0.8780487804878049,0.12195121951219512,0.15254237288135594,0.847457627118644,0.4186046511627907,0.18,0.05,97,41
RF,3,0.5514675485737908,0.25,34,44,7,15,41,59,0.8292682926829268,0.17073170731707318,0.2542372881355932,0.7457627118644068,0.4358974358974359,0.3409090909090909,0.05,97,41
RF,3,0.5514675485737908,0.3,33,41,8,18,41,59,0.8048780487804879,0.1951219512195122,0.3050847457627119,0.6949152542372882,0.44594594594594594,0.43902439024390244,0.05,97,41
RF,3,0.5514675485737908,0.35000000000000003,32,37,9,22,41,59,0.7804878048780488,0.21951219512195122,0.3728813559322034,0.6271186440677966,0.463768115942029,0.5945945945945946,0.05,97,41
RF,3,0.5514675485737908,0.4,28,30,13,29,41,59,0.6829268292682927,0.3170731707317073,0.4915254237288136,0.5084745762711864,0.4827586206896552,0.9666666666666667,0.05,97,41
RF,3,0.5514675485737908,0.45,20,23,21,36,41,59,0.4878048780487805,0.5121951219512195,0.6101694915254238,0.3898305084745763,0.46511627906976744,1.565217391304348,0.05,97,41
RF,3,0.5514675485737908,0.5,16,19,25,40,41,59,0.3902439024390244,0.6097560975609756,0.6779661016949152,0.3220338983050847,0.45714285714285713,2.1052631578947367,0.05,97,41
RF,3,0.5514675485737908,0.55,13,18,28,41,41,59,0.3170731707317073,0.6829268292682927,0.6949152542372882,0.3050847457627119,0.41935483870967744,2.2777777777777777,0.05,97,41
RF,3,0.5514675485737908,0.6000000000000001,10,11,31,48,41,59,0.24390243902439024,0.7560975609756098,0.8135593220338984,0.1864406779661017,0.47619047619047616,4.363636363636363,0.05,97,41
RF,3,0.5514675485737908,0.6500000000000001,3,8,38,51,41,59,0.07317073170731707,0.926829268292683,0.864406779661017,0.13559322033898305,0.2727272727272727,6.375,0.05,97,41
RF,3,0.5514675485737908,0.7000000000000001,2,4,39,55,41,59,0.04878048780487805,0.9512195121951219,0.9322033898305084,0.06779661016949153,0.3333333333333333,13.75,0.05,97,41
RF,3,0.5514675485737908,0.7500000000000001,0,1,41,58,41,59,0.0,1.0,0.9830508474576272,0.01694915254237288,0.0,58.0,0.05,97,41
RF,3,0.5514675485737908,0.8,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,3,0.5514675485737908,0.8500000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,3,0.5514675485737908,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,5,0.5510541546093427,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,5,0.5510541546093427,0.1,40,58,1,1,41,59,0.975609756097561,0.024390243902439025,0.01694915254237288,0.9830508474576272,0.40816326530612246,0.017241379310344827,0.05,97,41
RF,5,0.5510541546093427,0.15000000000000002,37,54,4,5,41,59,0.9024390243902439,0.0975609756097561,0.0847457627118644,0.9152542372881356,0.4065934065934066,0.09259259259259259,0.05,97,41
RF,5,0.5510541546093427,0.2,36,51,5,8,41,59,0.8780487804878049,0.12195121951219512,0.13559322033898305,0.864406779661017,0.41379310344827586,0.1568627450980392,0.05,97,41
RF,5,0.5510541546093427,0.25,35,44,6,15,41,59,0.8536585365853658,0.14634146341463414,0.2542372881355932,0.7457627118644068,0.4430379746835443,0.3409090909090909,0.05,97,41
RF,5,0.5510541546093427,0.3,33,44,8,15,41,59,0.8048780487804879,0.1951219512195122,0.2542372881355932,0.7457627118644068,0.42857142857142855,0.3409090909090909,0.05,97,41
RF,5,0.5510541546093427,0.35000000000000003,33,37,8,22,41,59,0.8048780487804879,0.1951219512195122,0.3728813559322034,0.6271186440677966,0.4714285714285714,0.5945945945945946,0.05,97,41
RF,5,0.5510541546093427,0.4,27,32,14,27,41,59,0.6585365853658537,0.34146341463414637,0.4576271186440678,0.5423728813559322,0.4576271186440678,0.84375,0.05,97,41
RF,5,0.5510541546093427,0.45,22,28,19,31,41,59,0.5365853658536586,0.4634146341463415,0.5254237288135594,0.4745762711864407,0.44,1.1071428571428572,0.05,97,41
RF,5,0.5510541546093427,0.5,18,22,23,37,41,59,0.43902439024390244,0.5609756097560976,0.6271186440677966,0.3728813559322034,0.45,1.6818181818181819,0.05,97,41
RF,5,0.5510541546093427,0.55,14,20,27,39,41,59,0.34146341463414637,0.6585365853658537,0.6610169491525424,0.3389830508474576,0.4117647058823529,1.95,0.05,97,41
RF,5,0.5510541546093427,0.6000000000000001,13,18,28,41,41,59,0.3170731707317073,0.6829268292682927,0.6949152542372882,0.3050847457627119,0.41935483870967744,2.2777777777777777,0.05,97,41
RF,5,0.5510541546093427,0.6500000000000001,9,13,32,46,41,59,0.21951219512195122,0.7804878048780488,0.7796610169491526,0.22033898305084745,0.4090909090909091,3.5384615384615383,0.05,97,41
RF,5,0.5510541546093427,0.7000000000000001,4,6,37,53,41,59,0.0975609756097561,0.9024390243902439,0.8983050847457628,0.1016949152542373,0.4,8.833333333333334,0.05,97,41
RF,5,0.5510541546093427,0.7500000000000001,3,3,38,56,41,59,0.07317073170731707,0.926829268292683,0.9491525423728814,0.05084745762711865,0.5,18.666666666666668,0.05,97,41
RF,5,0.5510541546093427,0.8,1,2,40,57,41,59,0.024390243902439025,0.975609756097561,0.9661016949152542,0.03389830508474576,0.3333333333333333,28.5,0.05,97,41
RF,5,0.5510541546093427,0.8500000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,5,0.5510541546093427,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,8,0.5217031831335261,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,8,0.5217031831335261,0.1,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,8,0.5217031831335261,0.15000000000000002,40,56,1,3,41,59,0.975609756097561,0.024390243902439025,0.05084745762711865,0.9491525423728814,0.4166666666666667,0.05357142857142857,0.05,97,41
RF,8,0.5217031831335261,0.2,36,51,5,8,41,59,0.8780487804878049,0.12195121951219512,0.13559322033898305,0.864406779661017,0.41379310344827586,0.1568627450980392,0.05,97,41
RF,8,0.5217031831335261,0.25,35,48,6,11,41,59,0.8536585365853658,0.14634146341463414,0.1864406779661017,0.8135593220338984,0.42168674698795183,0.22916666666666666,0.05,97,41
RF,8,0.5217031831335261,0.3,35,43,6,16,41,59,0.8536585365853658,0.14634146341463414,0.2711864406779661,0.7288135593220338,0.44871794871794873,0.37209302325581395,0.05,97,41
RF,8,0.5217031831335261,0.35000000000000003,33,42,8,17,41,59,0.8048780487804879,0.1951219512195122,0.288135593220339,0.711864406779661,0.44,0.40476190476190477,0.05,97,41
RF,8,0.5217031831335261,0.4,27,36,14,23,41,59,0.6585365853658537,0.34146341463414637,0.3898305084745763,0.6101694915254238,0.42857142857142855,0.6388888888888888,0.05,97,41
RF,8,0.5217031831335261,0.45,21,32,20,27,41,59,0.5121951219512195,0.4878048780487805,0.4576271186440678,0.5423728813559322,0.39622641509433965,0.84375,0.05,97,41
RF,8,0.5217031831335261,0.5,18,28,23,31,41,59,0.43902439024390244,0.5609756097560976,0.5254237288135594,0.4745762711864407,0.391304347826087,1.1071428571428572,0.05,97,41
RF,8,0.5217031831335261,0.55,18,23,23,36,41,59,0.43902439024390244,0.5609756097560976,0.6101694915254238,0.3898305084745763,0.43902439024390244,1.565217391304348,0.05,97,41
RF,8,0.5217031831335261,0.6000000000000001,15,20,26,39,41,59,0.36585365853658536,0.6341463414634146,0.6610169491525424,0.3389830508474576,0.42857142857142855,1.95,0.05,97,41
RF,8,0.5217031831335261,0.6500000000000001,13,16,28,43,41,59,0.3170731707317073,0.6829268292682927,0.7288135593220338,0.2711864406779661,0.4482758620689655,2.6875,0.05,97,41
RF,8,0.5217031831335261,0.7000000000000001,8,13,33,46,41,59,0.1951219512195122,0.8048780487804879,0.7796610169491526,0.22033898305084745,0.38095238095238093,3.5384615384615383,0.05,97,41
RF,8,0.5217031831335261,0.7500000000000001,4,7,37,52,41,59,0.0975609756097561,0.9024390243902439,0.8813559322033898,0.11864406779661017,0.36363636363636365,7.428571428571429,0.05,97,41
RF,8,0.5217031831335261,0.8,1,4,40,55,41,59,0.024390243902439025,0.975609756097561,0.9322033898305084,0.06779661016949153,0.2,13.75,0.05,97,41
RF,8,0.5217031831335261,0.8500000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,8,0.5217031831335261,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,10,0.5229433650268707,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,10,0.5229433650268707,0.1,41,58,0,1,41,59,1.0,0.0,0.01694915254237288,0.9830508474576272,0.41414141414141414,0.017241379310344827,0.05,97,41
RF,10,0.5229433650268707,0.15000000000000002,40,56,1,3,41,59,0.975609756097561,0.024390243902439025,0.05084745762711865,0.9491525423728814,0.4166666666666667,0.05357142857142857,0.05,97,41
RF,10,0.5229433650268707,0.2,38,51,3,8,41,59,0.926829268292683,0.07317073170731707,0.13559322033898305,0.864406779661017,0.42696629213483145,0.1568627450980392,0.05,97,41
RF,10,0.5229433650268707,0.25,36,49,5,10,41,59,0.8780487804878049,0.12195121951219512,0.1694915254237288,0.8305084745762712,0.4235294117647059,0.20408163265306123,0.05,97,41
RF,10,0.5229433650268707,0.3,35,44,6,15,41,59,0.8536585365853658,0.14634146341463414,0.2542372881355932,0.7457627118644068,0.4430379746835443,0.3409090909090909,0.05,97,41
RF,10,0.5229433650268707,0.35000000000000003,33,41,8,18,41,59,0.8048780487804879,0.1951219512195122,0.3050847457627119,0.6949152542372882,0.44594594594594594,0.43902439024390244,0.05,97,41
RF,10,0.5229433650268707,0.4,26,36,15,23,41,59,0.6341463414634146,0.36585365853658536,0.3898305084745763,0.6101694915254238,0.41935483870967744,0.6388888888888888,0.05,97,41
RF,10,0.5229433650268707,0.45,23,31,18,28,41,59,0.5609756097560976,0.43902439024390244,0.4745762711864407,0.5254237288135594,0.42592592592592593,0.9032258064516129,0.05,97,41
RF,10,0.5229433650268707,0.5,19,28,22,31,41,59,0.4634146341463415,0.5365853658536586,0.5254237288135594,0.4745762711864407,0.40425531914893614,1.1071428571428572,0.05,97,41
RF,10,0.5229433650268707,0.55,18,23,23,36,41,59,0.43902439024390244,0.5609756097560976,0.6101694915254238,0.3898305084745763,0.43902439024390244,1.565217391304348,0.05,97,41
RF,10,0.5229433650268707,0.6000000000000001,15,20,26,39,41,59,0.36585365853658536,0.6341463414634146,0.6610169491525424,0.3389830508474576,0.42857142857142855,1.95,0.05,97,41
RF,10,0.5229433650268707,0.6500000000000001,14,18,27,41,41,59,0.34146341463414637,0.6585365853658537,0.6949152542372882,0.3050847457627119,0.4375,2.2777777777777777,0.05,97,41
RF,10,0.5229433650268707,0.7000000000000001,9,13,32,46,41,59,0.21951219512195122,0.7804878048780488,0.7796610169491526,0.22033898305084745,0.4090909090909091,3.5384615384615383,0.05,97,41
RF,10,0.5229433650268707,0.7500000000000001,6,10,35,49,41,59,0.14634146341463414,0.8536585365853658,0.8305084745762712,0.1694915254237288,0.375,4.9,0.05,97,41
RF,10,0.5229433650268707,0.8,1,4,40,55,41,59,0.024390243902439025,0.975609756097561,0.9322033898305084,0.06779661016949153,0.2,13.75,0.05,97,41
RF,10,0.5229433650268707,0.8500000000000001,1,1,40,58,41,59,0.024390243902439025,0.975609756097561,0.9830508474576272,0.01694915254237288,0.5,58.0,0.05,97,41
RF,10,0.5229433650268707,0.9000000000000001,0,0,41,59,41,59,0.0,1.0,1.0,0.0,0.0,inf,0.05,97,41
RF,15,0.5227366680446466,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,15,0.5227366680446466,0.1,40,57,1,2,41,59,0.975609756097561,0.024390243902439025,0.03389830508474576,0.9661016949152542,0.41237113402061853,0.03508771929824561,0.05,97,41
RF,15,0.5227366680446466,0.15000000000000002,40,56,1,3,41,59,0.975609756097561,0.024390243902439025,0.05084745762711865,0.9491525423728814,0.4166666666666667,0.05357142857142857,0.05,97,41
RF,15,0.5227366680446466,0.2,39,51,2,8,41,59,0.9512195121951219,0.04878048780487805,0.13559322033898305,0.864406779661017,0.43333333333333335,0.1568627450980392,0.05,97,41
RF,15,0.5227366680446466,0.25,38,50,3,9,41,59,0.926829268292683,0.07317073170731707,0.15254237288135594,0.847457627118644,0.4318181818181818,0.18,0.05,97,41
RF,15,0.5227366680446466,0.3,36,45,5,14,41,59,0.8780487804878049,0.12195121951219512,0.23728813559322035,0.7627118644067796,0.4444444444444444,0.3111111111111111,0.05,97,41
RF,15,0.5227366680446466,0.35000000000000003,31,41,10,18,41,59,0.7560975609756098,0.24390243902439024,0.3050847457627119,0.6949152542372882,0.4305555555555556,0.43902439024390244,0.05,97,41
RF,15,0.5227366680446466,0.4,25,38,16,21,41,59,0.6097560975609756,0.3902439024390244,0.3559322033898305,0.6440677966101694,0.3968253968253968,0.5526315789473685,0.05,97,41
RF,15,0.5227366680446466,0.45,24,35,17,24,41,59,0.5853658536585366,0.4146341463414634,0.4067796610169492,0.5932203389830508,0.4067796610169492,0.6857142857142857,0.05,97,41
RF,15,0.5227366680446466,0.5,22,32,19,27,41,59,0.5365853658536586,0.4634146341463415,0.4576271186440678,0.5423728813559322,0.4074074074074074,0.84375,0.05,97,41
RF,15,0.5227366680446466,0.55,20,30,21,29,41,59,0.4878048780487805,0.5121951219512195,0.4915254237288136,0.5084745762711864,0.4,0.9666666666666667,0.05,97,41
RF,15,0.5227366680446466,0.6000000000000001,18,24,23,35,41,59,0.43902439024390244,0.5609756097560976,0.5932203389830508,0.4067796610169492,0.42857142857142855,1.4583333333333333,0.05,97,41
RF,15,0.5227366680446466,0.6500000000000001,15,22,26,37,41,59,0.36585365853658536,0.6341463414634146,0.6271186440677966,0.3728813559322034,0.40540540540540543,1.6818181818181819,0.05,97,41
RF,15,0.5227366680446466,0.7000000000000001,13,18,28,41,41,59,0.3170731707317073,0.6829268292682927,0.6949152542372882,0.3050847457627119,0.41935483870967744,2.2777777777777777,0.05,97,41
RF,15,0.5227366680446466,0.7500000000000001,9,14,32,45,41,59,0.21951219512195122,0.7804878048780488,0.7627118644067796,0.23728813559322035,0.391304347826087,3.2142857142857144,0.05,97,41
RF,15,0.5227366680446466,0.8,6,8,35,51,41,59,0.14634146341463414,0.8536585365853658,0.864406779661017,0.13559322033898305,0.42857142857142855,6.375,0.05,97,41
RF,15,0.5227366680446466,0.8500000000000001,3,3,38,56,41,59,0.07317073170731707,0.926829268292683,0.9491525423728814,0.05084745762711865,0.5,18.666666666666668,0.05,97,41
RF,15,0.5227366680446466,0.9000000000000001,0,1,41,58,41,59,0.0,1.0,0.9830508474576272,0.01694915254237288,0.0,58.0,0.05,97,41
RF,20,0.5124018189334436,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,20,0.5124018189334436,0.1,40,56,1,3,41,59,0.975609756097561,0.024390243902439025,0.05084745762711865,0.9491525423728814,0.4166666666666667,0.05357142857142857,0.05,97,41
RF,20,0.5124018189334436,0.15000000000000002,40,53,1,6,41,59,0.975609756097561,0.024390243902439025,0.1016949152542373,0.8983050847457628,0.43010752688172044,0.11320754716981132,0.05,97,41
RF,20,0.5124018189334436,0.2,39,51,2,8,41,59,0.9512195121951219,0.04878048780487805,0.13559322033898305,0.864406779661017,0.43333333333333335,0.1568627450980392,0.05,97,41
RF,20,0.5124018189334436,0.25,39,51,2,8,41,59,0.9512195121951219,0.04878048780487805,0.13559322033898305,0.864406779661017,0.43333333333333335,0.1568627450980392,0.05,97,41
RF,20,0.5124018189334436,0.3,38,47,3,12,41,59,0.926829268292683,0.07317073170731707,0.2033898305084746,0.7966101694915254,0.4470588235294118,0.2553191489361702,0.05,97,41
RF,20,0.5124018189334436,0.35000000000000003,38,46,3,13,41,59,0.926829268292683,0.07317073170731707,0.22033898305084745,0.7796610169491526,0.4523809523809524,0.2826086956521739,0.05,97,41
RF,20,0.5124018189334436,0.4,32,41,9,18,41,59,0.7804878048780488,0.21951219512195122,0.3050847457627119,0.6949152542372882,0.4383561643835616,0.43902439024390244,0.05,97,41
RF,20,0.5124018189334436,0.45,25,37,16,22,41,59,0.6097560975609756,0.3902439024390244,0.3728813559322034,0.6271186440677966,0.4032258064516129,0.5945945945945946,0.05,97,41
RF,20,0.5124018189334436,0.5,24,36,17,23,41,59,0.5853658536585366,0.4146341463414634,0.3898305084745763,0.6101694915254238,0.4,0.6388888888888888,0.05,97,41
RF,20,0.5124018189334436,0.55,21,32,20,27,41,59,0.5121951219512195,0.4878048780487805,0.4576271186440678,0.5423728813559322,0.39622641509433965,0.84375,0.05,97,41
RF,20,0.5124018189334436,0.6000000000000001,20,31,21,28,41,59,0.4878048780487805,0.5121951219512195,0.4745762711864407,0.5254237288135594,0.39215686274509803,0.9032258064516129,0.05,97,41
RF,20,0.5124018189334436,0.6500000000000001,17,24,24,35,41,59,0.4146341463414634,0.5853658536585366,0.5932203389830508,0.4067796610169492,0.4146341463414634,1.4583333333333333,0.05,97,41
RF,20,0.5124018189334436,0.7000000000000001,14,22,27,37,41,59,0.34146341463414637,0.6585365853658537,0.6271186440677966,0.3728813559322034,0.3888888888888889,1.6818181818181819,0.05,97,41
RF,20,0.5124018189334436,0.7500000000000001,12,18,29,41,41,59,0.2926829268292683,0.7073170731707317,0.6949152542372882,0.3050847457627119,0.4,2.2777777777777777,0.05,97,41
RF,20,0.5124018189334436,0.8,9,11,32,48,41,59,0.21951219512195122,0.7804878048780488,0.8135593220338984,0.1864406779661017,0.45,4.363636363636363,0.05,97,41
RF,20,0.5124018189334436,0.8500000000000001,5,8,36,51,41,59,0.12195121951219512,0.8780487804878049,0.864406779661017,0.13559322033898305,0.38461538461538464,6.375,0.05,97,41
RF,20,0.5124018189334436,0.9000000000000001,0,3,41,56,41,59,0.0,1.0,0.9491525423728814,0.05084745762711865,0.0,18.666666666666668,0.05,97,41
RF,30,0.5177759404712691,0.05,40,58,1,1,41,59,0.975609756097561,0.024390243902439025,0.01694915254237288,0.9830508474576272,0.40816326530612246,0.017241379310344827,0.05,97,41
RF,30,0.5177759404712691,0.1,40,58,1,1,41,59,0.975609756097561,0.024390243902439025,0.01694915254237288,0.9830508474576272,0.40816326530612246,0.017241379310344827,0.05,97,41
RF,30,0.5177759404712691,0.15000000000000002,39,53,2,6,41,59,0.9512195121951219,0.04878048780487805,0.1016949152542373,0.8983050847457628,0.42391304347826086,0.11320754716981132,0.05,97,41
RF,30,0.5177759404712691,0.2,39,51,2,8,41,59,0.9512195121951219,0.04878048780487805,0.13559322033898305,0.864406779661017,0.43333333333333335,0.1568627450980392,0.05,97,41
RF,30,0.5177759404712691,0.25,39,50,2,9,41,59,0.9512195121951219,0.04878048780487805,0.15254237288135594,0.847457627118644,0.43820224719101125,0.18,0.05,97,41
RF,30,0.5177759404712691,0.3,37,46,4,13,41,59,0.9024390243902439,0.0975609756097561,0.22033898305084745,0.7796610169491526,0.4457831325301205,0.2826086956521739,0.05,97,41
RF,30,0.5177759404712691,0.35000000000000003,29,42,12,17,41,59,0.7073170731707317,0.2926829268292683,0.288135593220339,0.711864406779661,0.4084507042253521,0.40476190476190477,0.05,97,41
RF,30,0.5177759404712691,0.4,27,40,14,19,41,59,0.6585365853658537,0.34146341463414637,0.3220338983050847,0.6779661016949152,0.40298507462686567,0.475,0.05,97,41
RF,30,0.5177759404712691,0.45,27,40,14,19,41,59,0.6585365853658537,0.34146341463414637,0.3220338983050847,0.6779661016949152,0.40298507462686567,0.475,0.05,97,41
RF,30,0.5177759404712691,0.5,27,37,14,22,41,59,0.6585365853658537,0.34146341463414637,0.3728813559322034,0.6271186440677966,0.421875,0.5945945945945946,0.05,97,41
RF,30,0.5177759404712691,0.55,25,36,16,23,41,59,0.6097560975609756,0.3902439024390244,0.3898305084745763,0.6101694915254238,0.4098360655737705,0.6388888888888888,0.05,97,41
RF,30,0.5177759404712691,0.6000000000000001,24,32,17,27,41,59,0.5853658536585366,0.4146341463414634,0.4576271186440678,0.5423728813559322,0.42857142857142855,0.84375,0.05,97,41
RF,30,0.5177759404712691,0.6500000000000001,21,29,20,30,41,59,0.5121951219512195,0.4878048780487805,0.5084745762711864,0.4915254237288136,0.42,1.0344827586206897,0.05,97,41
RF,30,0.5177759404712691,0.7000000000000001,17,25,24,34,41,59,0.4146341463414634,0.5853658536585366,0.576271186440678,0.423728813559322,0.40476190476190477,1.36,0.05,97,41
RF,30,0.5177759404712691,0.7500000000000001,15,21,26,38,41,59,0.36585365853658536,0.6341463414634146,0.6440677966101694,0.3559322033898305,0.4166666666666667,1.8095238095238095,0.05,97,41
