model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large,mapping,event,instrument,n_train,n_test,train_start,train_end,test_start,test_end
RF,2,0.5692481464318814,0.1,102,161,2,5,104,166,0.9807692307692307,0.019230769230769232,0.030120481927710843,0.9698795180722891,0.38783269961977185,0.031055900621118012,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.15000000000000002,95,153,9,13,104,166,0.9134615384615384,0.08653846153846154,0.0783132530120482,0.9216867469879518,0.38306451612903225,0.08496732026143791,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.2,85,130,19,36,104,166,0.8173076923076923,0.18269230769230768,0.21686746987951808,0.7831325301204819,0.3953488372093023,0.27692307692307694,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.25,68,103,36,63,104,166,0.6538461538461539,0.34615384615384615,0.3795180722891566,0.6204819277108434,0.39766081871345027,0.6116504854368932,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.3,53,69,51,97,104,166,0.5096153846153846,0.49038461538461536,0.5843373493975904,0.41566265060240964,0.4344262295081967,1.4057971014492754,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.35000000000000003,45,48,59,118,104,166,0.4326923076923077,0.5673076923076923,0.7108433734939759,0.2891566265060241,0.4838709677419355,2.4583333333333335,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.4,38,38,66,128,104,166,0.36538461538461536,0.6346153846153846,0.7710843373493976,0.2289156626506024,0.5,3.3684210526315788,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.45,29,29,75,137,104,166,0.27884615384615385,0.7211538461538461,0.8253012048192772,0.1746987951807229,0.5,4.724137931034483,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.5,21,19,83,147,104,166,0.20192307692307693,0.7980769230769231,0.8855421686746988,0.1144578313253012,0.525,7.7368421052631575,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.55,17,10,87,156,104,166,0.16346153846153846,0.8365384615384616,0.9397590361445783,0.060240963855421686,0.6296296296296297,15.6,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.6000000000000001,5,3,99,163,104,166,0.04807692307692308,0.9519230769230769,0.9819277108433735,0.018072289156626505,0.625,54.333333333333336,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.6500000000000001,1,0,103,166,104,166,0.009615384615384616,0.9903846153846154,1.0,0.0,1.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.7000000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.7500000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.8,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.8500000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,2,0.5692481464318814,0.9000000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.05,104,166,0,0,104,166,1.0,0.0,0.0,1.0,0.3851851851851852,0.0,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.1,101,163,3,3,104,166,0.9711538461538461,0.028846153846153848,0.018072289156626505,0.9819277108433735,0.38257575757575757,0.018404907975460124,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.15000000000000002,94,155,10,11,104,166,0.9038461538461539,0.09615384615384616,0.06626506024096386,0.9337349397590361,0.37751004016064255,0.07096774193548387,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.2,85,124,19,42,104,166,0.8173076923076923,0.18269230769230768,0.25301204819277107,0.7469879518072289,0.40669856459330145,0.3387096774193548,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.25,63,90,41,76,104,166,0.6057692307692307,0.3942307692307692,0.4578313253012048,0.5421686746987951,0.4117647058823529,0.8444444444444444,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.3,50,66,54,100,104,166,0.4807692307692308,0.5192307692307693,0.6024096385542169,0.39759036144578314,0.43103448275862066,1.5151515151515151,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.35000000000000003,43,47,61,119,104,166,0.41346153846153844,0.5865384615384616,0.7168674698795181,0.28313253012048195,0.4777777777777778,2.5319148936170213,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.4,35,37,69,129,104,166,0.33653846153846156,0.6634615384615384,0.7771084337349398,0.22289156626506024,0.4861111111111111,3.4864864864864864,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,3,0.5686109823911029,0.45,29,27,75,139,104,166,0.27884615384615385,0.7211538461538461,0.8373493975903614,0.16265060240963855,0.5178571428571429,5.148148148148148,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
