model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large,mapping,event,instrument,n_train,n_test,train_start,train_end,test_start,test_end
RF,50,0.5530279503105591,0.5,41,48,51,92,92,140,0.44565217391304346,0.5543478260869565,0.6571428571428571,0.34285714285714286,0.4606741573033708,1.9166666666666667,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.55,29,36,63,104,92,140,0.31521739130434784,0.6847826086956522,0.7428571428571429,0.2571428571428571,0.4461538461538462,2.888888888888889,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.6000000000000001,19,25,73,115,92,140,0.20652173913043478,0.7934782608695652,0.8214285714285714,0.17857142857142858,0.4318181818181818,4.6,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.6500000000000001,17,18,75,122,92,140,0.18478260869565216,0.8152173913043478,0.8714285714285714,0.12857142857142856,0.4857142857142857,6.777777777777778,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.7000000000000001,15,11,77,129,92,140,0.16304347826086957,0.8369565217391305,0.9214285714285714,0.07857142857142857,0.5769230769230769,11.727272727272727,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.7500000000000001,11,8,81,132,92,140,0.11956521739130435,0.8804347826086957,0.9428571428571428,0.05714285714285714,0.5789473684210527,16.5,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.8,10,5,82,135,92,140,0.10869565217391304,0.8913043478260869,0.9642857142857143,0.03571428571428571,0.6666666666666666,27.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.8500000000000001,6,1,86,139,92,140,0.06521739130434782,0.9347826086956522,0.9928571428571429,0.007142857142857143,0.8571428571428571,139.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,50,0.5530279503105591,0.9000000000000001,4,1,88,139,92,140,0.043478260869565216,0.9565217391304348,0.9928571428571429,0.007142857142857143,0.8,139.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,balanced,0.5654503105590062,0.05,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,balanced,0.5654503105590062,0.1,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
